Algorithm,Assignment_Type,Message_Count,Success_Rate,Avg_Cost,Avg_Time,Success_RepRate,Success_TL
algo,0,35,1.0,52.44,0.000803995132446289,1.0,1.0
algo,0,65,0.9147692307692307,63.0,0.004849290847778321,0.9735319168561564,0.9855446749088475
algo,0,95,0.5532631578947369,68.4,0.014955344200134278,0.7957642864138202,0.8729911134766649
algo,0,125,0.32688,67.44,0.023495678901672364,0.6246205899480479,0.7393361427431728
algo,0,155,0.20232258064516123,65.04,0.032152652740478516,0.4970586580103455,0.6199812676099443
algo,0,185,0.15048648648648646,64.68,0.043651366233825685,0.4137176168172938,0.5320540749803384
algo,0,215,0.11488372093023261,64.2,0.051410040855407714,0.3521784047072507,0.46993867809731654
algo,0,245,0.10040816326530616,63.6,0.06084523677825928,0.3146150381310828,0.41901644278298134
algo,1,35,1.0,52.44,0.00215329647064209,1.0,1.0
algo,1,65,0.9076923076923077,62.52,0.008626189231872559,0.9726082562188053,0.9850738886221275
algo,1,95,0.5458947368421052,68.64,0.01744453430175781,0.7976819864962073,0.8750260575524805
algo,1,125,0.3079999999999999,68.16,0.02624558448791504,0.6295166939293433,0.7446014392864074
algo,1,155,0.17354838709677411,67.32,0.0357293176651001,0.4943669226712267,0.6270380585206817
algo,1,185,0.1334054054054054,66.96,0.042853174209594724,0.41786060357593036,0.5448766372756907
algo,1,215,0.09209302325581394,65.88,0.05015439987182617,0.3519136520128939,0.4787240675219126
algo,1,245,0.0766530612244898,66.0,0.05840039730072021,0.30561861300677945,0.42296773085698547
algo,2,35,1.0,52.44,0.0018660354614257813,1.0,1.0
algo,2,65,0.9156923076923075,62.16,0.00927379608154297,0.9765724780338806,0.9874788623202465
algo,2,95,0.5522105263157894,69.72,0.0271436071395874,0.8197451649973019,0.8869401098533506
algo,2,125,0.29760000000000003,69.36,0.04405829429626465,0.6571308646893681,0.76114973663783
algo,2,155,0.20064516129032256,69.72,0.058362717628479006,0.5447997420108307,0.6640315063620238
algo,2,185,0.13881081081081076,69.12,0.07413901805877686,0.4551406459119501,0.5727455023820806
algo,2,215,0.11153488372093022,68.4,0.08570506572723388,0.3939451456107067,0.5110081550562534
algo,2,245,0.10024489795918366,69.72,0.10145366668701172,0.3509047813634987,0.4635380941482366
holistic_algo,0,35,0.9399999999999994,58.32,0.0012513065338134765,0.986208499097127,0.9917782650350075
holistic_algo,0,65,0.8486153846153843,65.88,0.004827337265014648,0.9090724397728575,0.9416415235336801
holistic_algo,0,95,0.7673684210526314,69.6,0.009659204483032226,0.7861585056377439,0.8499392929779412
holistic_algo,0,125,0.7214400000000002,69.72,0.015334630012512207,0.6633915467052772,0.7519175774605219
holistic_algo,0,155,0.704258064516129,70.8,0.021019659042358398,0.5515307151879185,0.6514873540641634
holistic_algo,0,185,0.6777297297297299,70.32,0.026378273963928223,0.4755650732865992,0.5754399169804283
holistic_algo,0,215,0.6300465116279071,70.08,0.02994943141937256,0.43145665486883117,0.5233111855057198
holistic_algo,0,245,0.5462040816326531,70.92,0.03822859287261963,0.37331785198533396,0.45883767160627686
holistic_algo,1,35,0.9365714285714283,57.96,0.0027057600021362306,0.9847147598952976,0.9910154262929787
holistic_algo,1,65,0.8381538461538461,66.12,0.006852908134460449,0.9006171411139001,0.9376351313825847
holistic_algo,1,95,0.7648421052631579,70.68,0.01295173168182373,0.7759802840513537,0.8459023254580267
holistic_algo,1,125,0.72016,70.92,0.019507880210876464,0.6441907635450302,0.7420022165923352
holistic_algo,1,155,0.7025806451612903,70.44,0.025679101943969728,0.5326426545779352,0.6439611513756186
holistic_algo,1,185,0.662054054054054,69.6,0.03216556549072266,0.44349636646055396,0.5584425596490952
holistic_algo,1,215,0.6074418604651162,69.84,0.036249818801879885,0.3952792583196279,0.4977494858651281
holistic_algo,1,245,0.5293061224489797,70.2,0.047063593864440915,0.349437359019935,0.4404758373014201
holistic_algo,2,35,0.9102857142857141,59.04,0.002268667221069336,0.9767640493690205,0.9848124094239757
holistic_algo,2,65,0.8193846153846157,66.12,0.007156772613525391,0.9147702219882474,0.943055391970986
holistic_algo,2,95,0.774526315789474,68.88,0.014182467460632325,0.794485539826584,0.8569759707712435
holistic_algo,2,125,0.7379200000000001,70.2,0.021775407791137694,0.6717987728157113,0.7563582436535852
holistic_algo,2,155,0.7108387096774194,70.08,0.029924120903015137,0.5521379077287681,0.6538575561811802
holistic_algo,2,185,0.6863783783783783,70.8,0.038432140350341794,0.48065526671500663,0.5800160839180871
holistic_algo,2,215,0.6346046511627909,69.48,0.04869116306304932,0.4270741576468397,0.5173727859312585
holistic_algo,2,245,0.5519999999999999,69.36,0.06094213962554931,0.37285814559550107,0.4523020352425885
my_algo,0,35,0.9942857142857142,105.48,0.17229082107543944,0.9988471469003073,0.9988471469003073
my_algo,0,65,0.9504615384615381,135.0,0.22168835163116454,0.9900554439517506,0.9900554439517506
my_algo,0,95,0.8585263157894737,135.84,0.26019796371459963,0.975042182171267,0.975042182171267
my_algo,0,125,0.6804800000000002,142.32,0.2789040470123291,0.921050709587788,0.921050709587788
my_algo,0,155,0.4772903225806453,154.92,0.28528921604156493,0.8333909308593382,0.8333909308593382
my_algo,0,185,0.3317837837837838,155.4,0.3065003299713135,0.7248231199842113,0.7248231199842113
my_algo,0,215,0.22176744186046515,148.32,0.2985926103591919,0.6230751802045394,0.6230751802045394
my_algo,0,245,0.1800816326530612,141.24,0.3041111183166504,0.5537517989720424,0.5537517989720424
my_holistic_algo,0,35,0.922285714285714,108.72,0.13217649459838868,0.9834281283312261,0.9834281283312261
my_holistic_algo,0,65,0.8363076923076924,121.8,0.19669078826904296,0.9485235034257035,0.9485235034257035
my_holistic_algo,0,95,0.7694736842105264,124.8,0.23556384086608886,0.8799348194451326,0.8799348194451326
my_holistic_algo,0,125,0.6910399999999999,133.2,0.2854878854751587,0.8118487471475286,0.8118487471475286
my_holistic_algo,0,155,0.6781935483870967,125.4,0.3077266836166382,0.7338751331844001,0.7338751331844001
my_holistic_algo,0,185,0.6777297297297297,134.76,0.3619038963317871,0.6629206220787869,0.6629206220787869
my_holistic_algo,0,215,0.6700465116279071,136.68,0.3990929698944092,0.6036859499777606,0.6036859499777606
my_holistic_algo,0,245,0.6653877551020407,141.84,0.43422420978546145,0.5335077312214285,0.5335077312214285
