Algorithm,Assignment_Type,Message_Count,Success_Rate,Avg_Cost,Avg_Time,Success_RepRate,Success_TL
algo,0,15,0.1679999999999999,66.96,0.0031117105484008787,0.22467416988780603,0.3885574504029084
algo,0,30,0.07266666666666662,70.44,0.006699209213256836,0.10242887621726751,0.2189551106595567
algo,0,45,0.04844444444444436,69.24,0.010979218482971191,0.06946891562842848,0.1456597560569767
algo,0,60,0.035999999999999976,72.12,0.014615864753723144,0.051370477446618545,0.11435020980752249
algo,0,75,0.028799999999999968,72.36,0.018521714210510253,0.04132375349941772,0.09250345804008113
algo,0,90,0.02488888888888889,72.36,0.022427997589111327,0.0357605275908411,0.075201272414058
algo,0,105,0.020000000000000035,72.72,0.02693706512451172,0.02874395469561156,0.06606116573671118
algo,0,120,0.01750000000000004,74.04,0.032350902557373044,0.02509106947336459,0.05982832517265649
algo,0,135,0.015259259259259281,72.72,0.034725375175476074,0.021844429920527562,0.05169411191799544
algo,0,150,0.014799999999999989,72.96,0.040494656562805174,0.021189312519878278,0.046615617289775584
algo,1,15,0.1893333333333333,75.72,0.00322911262512207,0.2860933842024215,0.45099869035749585
algo,1,30,0.07266666666666662,77.64,0.006742701530456543,0.13292047903932544,0.2561541251585139
algo,1,45,0.05199999999999992,80.64,0.011736249923706055,0.09181627506411237,0.1814147431202954
algo,1,60,0.037666666666666654,81.12,0.014989423751831054,0.06880480542524664,0.14367842758070545
algo,1,75,0.029333333333333305,81.24,0.01813546657562256,0.054454876062317616,0.11629361749260056
algo,1,90,0.026222222222222227,80.88,0.022220349311828612,0.04660258959388388,0.09710965532652184
algo,1,105,0.020380952380952416,80.88,0.027434277534484863,0.037847770938855545,0.08508983983263367
algo,1,120,0.01750000000000004,81.72,0.03191574096679688,0.03293249274739238,0.07671141722493799
algo,1,135,0.015259259259259281,82.08,0.033658008575439456,0.02878054456459469,0.06856773797720825
algo,1,150,0.014799999999999989,81.84,0.03744287490844726,0.027443976983023807,0.062172590729721165
algo,2,15,0.3506666666666667,76.08,0.00391324520111084,0.34636851084336323,0.500882859482939
algo,2,30,0.15599999999999997,78.36,0.008708148002624512,0.16479329697630102,0.2909851055232749
algo,2,45,0.10977777777777774,80.76,0.012856636047363281,0.1138152572501269,0.20845272530279066
algo,2,60,0.0813333333333334,81.48,0.017645444869995117,0.08513550985447427,0.1640929775396013
algo,2,75,0.06319999999999998,81.24,0.023177666664123533,0.06698290330321029,0.13193332006318997
algo,2,90,0.05333333333333329,81.36,0.02925267219543457,0.05702709518384594,0.10938812000894448
algo,2,105,0.043428571428571414,80.88,0.035484662055969236,0.046332211463135445,0.09577817656145537
algo,2,120,0.03849999999999995,81.6,0.0391294527053833,0.04056869457534191,0.08642529784994832
